mp3_file,txt_file,status,duration,start_time,end_time,error,word_count
podcasts/downloads/applepodcasts_trump_the joe rogan experience_20241025.mp3,podcasts/txt/applepodcasts_trump_the joe rogan experience_20241025.txt,failed,,,,[Errno 54] Connection reset by peer,
podcasts/downloads/applepodcasts_trump_shawn ryan show_20240826.mp3,podcasts/txt/applepodcasts_trump_shawn ryan show_20240826.txt,processing,,2024-11-26T09:42:39.758222,,,
podcasts/downloads/applepodcasts_harris_unlocking us with brene brown_20241028.mp3,podcasts/txt/applepodcasts_harris_unlocking us with brene brown_20241028.txt,processing,,2024-11-26T09:42:39.757613,,,
podcasts/downloads/applepodcasts_trump_bussin with the boys_20241015.mp3,podcasts/txt/applepodcasts_trump_bussin with the boys_20241015.txt,processing,,2024-11-26T09:42:39.757794,,,
podcasts/downloads/applepodcasts_trump_the dan bongino show_20241018.mp3,podcasts/txt/applepodcasts_trump_the dan bongino show_20241018.txt,failed,,,,[Errno 54] Connection reset by peer,
podcasts/downloads/applepodcasts_harris_drink champs the breakfast club all the smoke whoreble decisions big facts carefully reckless the gangster chronicles black effect reasonably shady big facts money and wealth and likely many others_20241018.mp3,podcasts/txt/applepodcasts_harris_drink champs the breakfast club all the smoke whoreble decisions big facts carefully reckless the gangster chronicles black effect reasonably shady big facts money and wealth and likely many others_20241018.txt,processing,,2024-11-26T09:42:39.758356,,,
podcasts/downloads/applepodcasts_harris_the axe files with david axelrod_20240822.mp3,podcasts/txt/applepodcasts_harris_the axe files with david axelrod_20240822.txt,processing,,2024-11-26T09:42:39.757303,,,
podcasts/downloads/applepodcasts_trump_the glenn beck program_20241015.mp3,podcasts/txt/applepodcasts_trump_the glenn beck program_20241015.txt,processing,,2024-11-26T09:42:39.758086,,,
podcasts/downloads/applepodcasts_harris_nightcap club shay shay_20241027.mp3,podcasts/txt/applepodcasts_harris_nightcap club shay shay_20241027.txt,processing,,2024-11-26T10:02:18.913705,,,
podcasts/downloads/applepodcasts_harris_we can do hard things_20240722.mp3,podcasts/txt/applepodcasts_harris_we can do hard things_20240722.txt,processing,,2024-11-26T10:12:40.629070,,,
